市区町村,総合計,強盗,その他凶悪犯,凶器準備集合,暴行,傷害,脅迫,恐喝,金庫破り,学校荒し,事務所荒し,出店荒し,空き巣,忍込み,居空き,その他侵入窃盗,自動車盗,オートバイ盗,自転車盗,車上ねらい,自販機ねらい,工事場ねらい,すり,ひったくり,置引き,万引き,その他非侵入窃盗,詐欺,占有離脱物横領,その他知能犯,賭博,その他刑法犯
千代田区,3204,8,3,0,213,78,15,6,4,5,23,50,0,0,0,26,1,11,269,23,8,8,166,3,157,651,745,278,105,50,0,298
中央区,2271,8,7,0,162,75,12,4,8,0,6,43,5,0,0,10,5,4,345,46,7,8,46,4,33,537,412,196,61,38,0,189
港区,3830,14,25,0,298,196,23,14,9,2,17,69,42,4,5,19,2,12,516,35,15,10,179,5,108,320,903,306,145,38,0,499
新宿区,6416,48,59,0,476,292,43,22,8,3,15,88,73,12,11,26,1,24,1210,59,5,12,170,15,156,1135,1068,365,288,93,12,627
文京区,1261,2,5,0,85,43,6,6,2,4,5,24,16,5,2,20,0,3,303,28,5,9,21,0,20,97,173,136,42,11,0,188
台東区,3153,12,7,0,142,90,15,10,2,1,7,23,13,1,1,18,2,19,856,77,9,25,70,14,77,439,550,183,133,34,1,322
墨田区,2617,11,14,0,109,51,10,5,3,0,5,20,23,2,3,14,5,25,817,83,22,24,32,5,30,332,442,175,61,14,0,280
江東区,3815,3,7,0,171,98,11,4,4,2,9,14,43,5,3,14,10,46,1126,64,25,28,48,7,44,520,607,298,144,43,1,416
品川区,2602,8,1,0,124,69,16,8,3,27,12,18,20,5,0,14,1,23,709,41,20,3,33,4,41,286,399,284,108,13,0,312
目黒区,1871,4,5,0,66,47,12,0,4,5,1,18,38,7,0,6,0,11,687,27,4,5,19,2,18,177,258,137,73,8,0,232
大田区,5335,12,11,0,191,138,18,10,9,3,15,75,63,19,7,62,2,73,2146,181,24,20,30,14,42,413,644,244,187,36,0,646
世田谷区,6035,9,16,0,212,142,27,3,4,3,8,49,139,6,5,32,2,57,2358,90,16,29,38,9,24,542,714,517,238,23,0,723
渋谷区,5432,15,15,0,256,186,21,3,5,0,14,37,31,9,4,8,2,21,817,50,14,7,265,4,103,1194,1043,402,172,66,1,667
中野区,2554,9,4,0,121,67,5,5,1,4,1,14,70,15,5,14,1,21,846,67,7,8,24,6,32,223,347,152,120,8,0,357
杉並区,3542,10,7,0,93,63,10,0,1,3,2,27,85,11,4,19,0,25,1398,69,15,9,10,11,22,351,433,288,122,9,0,445
豊島区,4477,18,8,0,159,134,12,13,5,11,18,31,42,14,4,40,2,14,1070,69,9,4,127,7,124,762,909,241,104,39,0,487
北区,2797,11,4,0,130,78,12,17,1,2,8,11,62,14,4,11,1,17,944,59,10,16,32,15,53,275,349,219,82,16,0,344
荒川区,1517,5,7,0,82,38,2,3,0,1,7,17,10,7,5,3,1,18,473,61,6,6,8,5,32,131,207,88,70,16,0,208
板橋区,4211,10,13,0,119,105,19,3,0,4,10,25,75,12,7,29,4,45,1555,138,13,13,21,11,44,411,544,304,137,16,0,524
練馬区,4535,12,12,0,113,75,18,7,5,1,6,17,81,49,8,23,0,50,2090,117,21,17,10,17,39,304,527,305,125,10,0,476
足立区,5230,12,14,0,216,161,29,14,5,2,23,19,90,16,6,66,20,123,1761,191,27,45,25,19,34,581,677,240,151,32,0,631
葛飾区,3654,11,11,0,135,99,14,11,2,0,1,32,67,15,5,21,6,50,1495,104,7,3,14,9,23,259,438,229,100,9,0,484
江戸川区,5431,18,10,0,137,152,23,9,5,4,10,24,99,16,6,31,21,120,2106,240,11,22,29,8,22,442,672,326,154,23,0,691
八王子市,3779,10,16,0,141,85,20,5,4,7,12,25,101,16,14,46,10,169,1009,152,6,15,10,3,32,416,490,262,127,16,0,560
立川市,1874,2,9,0,65,46,5,3,0,1,3,33,17,8,0,11,0,27,693,57,9,5,16,4,20,243,242,96,57,8,0,194
武蔵野市,1623,3,3,0,44,19,4,0,1,2,3,8,33,5,8,10,0,3,686,29,4,0,9,2,16,270,140,99,61,6,0,155
三鷹市,951,1,0,0,40,13,1,1,1,1,2,1,18,4,3,4,1,2,348,44,2,3,5,2,8,102,108,83,27,4,0,122
青梅市,791,4,3,0,24,19,3,1,2,0,2,4,11,7,0,7,1,24,193,39,3,5,0,0,2,136,116,43,25,0,0,117
府中市,1503,3,3,0,56,33,3,0,0,0,7,11,18,3,2,7,2,11,538,68,5,8,9,3,12,139,175,131,54,5,0,197
昭島市,944,2,5,0,35,26,4,3,0,0,4,2,18,30,2,17,2,11,323,38,1,6,3,7,4,117,98,46,25,4,0,111
調布市,1721,0,1,0,39,31,6,3,1,1,5,1,21,6,1,5,0,15,694,54,11,5,11,4,8,208,185,151,57,2,0,195
町田市,2915,9,11,1,103,61,16,5,2,2,10,46,86,12,3,45,13,197,526,112,9,18,10,19,28,394,431,232,58,9,0,447
小金井市,808,1,0,0,23,10,0,0,0,5,0,0,25,3,0,2,1,5,357,20,3,7,3,0,1,71,78,43,48,5,0,97
小平市,1062,4,0,0,23,14,5,0,1,5,5,9,19,0,0,5,1,19,449,35,0,5,2,2,2,104,121,57,38,3,0,134
日野市,1010,2,6,0,31,11,4,1,2,6,0,2,22,11,2,8,1,19,302,57,1,8,1,3,7,73,120,109,47,3,0,151
東村山市,797,0,1,0,25,15,1,3,1,0,1,6,19,4,1,9,1,13,325,24,2,5,1,0,6,57,81,73,23,2,0,98
国分寺市,712,1,1,0,15,10,5,1,0,0,1,9,5,4,0,2,0,9,241,20,2,8,10,0,13,79,96,54,26,3,0,97
国立市,531,3,1,0,11,12,1,4,0,2,0,2,11,2,0,0,0,7,252,23,2,3,2,1,2,45,39,38,18,2,0,48
福生市,462,1,2,0,12,17,1,0,0,0,0,12,19,10,0,4,2,11,115,30,1,4,1,3,1,50,48,21,18,10,0,69
狛江市,378,1,1,0,7,4,0,0,0,0,0,5,15,1,0,7,0,6,134,12,0,1,1,1,1,45,31,43,12,0,0,50
東大和市,678,0,2,0,12,15,0,2,1,1,0,4,7,3,1,1,0,22,307,21,2,4,1,1,4,64,67,38,21,7,0,70
清瀬市,515,1,2,0,12,4,1,3,1,0,1,2,19,6,1,6,2,9,213,18,2,1,1,0,8,36,49,50,17,0,0,50
東久留米市,776,2,2,0,17,7,2,3,0,0,1,3,11,5,1,5,0,19,285,33,3,8,5,2,2,75,120,51,13,0,0,101
武蔵村山市,538,2,0,0,17,10,2,2,0,0,2,0,8,3,1,2,1,20,190,21,1,2,1,1,2,88,57,20,13,2,0,70
多摩市,816,1,6,0,24,15,3,1,1,0,1,2,15,1,0,4,0,31,214,23,0,3,5,2,7,140,132,64,26,1,0,94
稲城市,444,0,1,0,6,6,1,2,0,1,1,8,2,3,0,0,1,7,141,9,3,3,3,1,0,57,61,31,8,2,0,86
羽村市,413,1,1,0,11,11,2,0,0,1,1,9,10,1,3,8,1,9,169,20,0,6,0,1,1,30,42,19,11,0,0,45
あきる野市,505,1,3,0,13,18,2,1,0,0,0,1,17,1,2,11,0,21,186,24,2,9,0,0,1,39,62,24,11,1,0,55
西東京市,1244,5,2,0,40,28,6,1,0,1,0,2,24,4,1,7,0,2,537,23,5,6,6,5,12,117,140,75,27,6,0,162
瑞穂町,319,1,0,0,3,2,2,0,0,0,2,2,10,7,0,2,0,12,51,19,9,5,1,0,0,70,59,9,6,1,0,46
日の出町,131,0,0,0,4,1,0,0,0,0,0,0,3,0,0,3,2,1,19,2,0,2,0,0,1,51,15,6,2,1,0,18
檜原村,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
奥多摩町,31,0,0,0,1,0,0,0,0,0,0,2,10,0,0,1,0,0,1,1,0,0,0,0,0,0,4,2,0,0,0,9
